"Datum","Tijd","Tijdzone","Naam","Type","Status","Valuta","Bedrag","Kosten","Totaal","Wisselkoers","Ontvangstbewijsreferentie","Saldo","Transactiereferentie","Objecttitel"
"09-07-2025","03:20:00","CEST","Microsoft Payments","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-11,99","0,00","-11,99",,"","-11,99","46A42949JH976473S",""
"09-07-2025","03:20:00","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","11,99","0,00","11,99",,"","0,00","7AG18778DL719603J",""
"09-07-2025","11:33:34","CEST","Headphones","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","USD","-3,78","0,00","-3,78",,"","-3,78","7JT53610PK181741N",""
"09-07-2025","11:33:34","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","3,37","0,00","3,37",,"","3,37","2RM26421AY066405G",""
"09-07-2025","11:33:34","CEST","","Algemene valutaomrekening","Voltooid","EUR","-3,37","0,00","-3,37",1.121485101281117,"","0,00","25131509HS336694D",""
"09-07-2025","11:33:34","CEST","","Algemene valutaomrekening","Voltooid","USD","3,78","0,00","3,78",,"","0,00","5XX27791WH967563Y",""
"12-07-2025","11:22:22","CEST","Plex, Inc.","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-5,99","0,00","-5,99",,"","-5,99","7P869179GY339191H",""
"12-07-2025","11:22:22","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","5,99","0,00","5,99",,"","0,00","05Y73724R20545233",""
"12-07-2025","23:31:43","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-5,99","0,00","-5,99",,"","-5,99","8CJ23981KU174494A",""
"12-07-2025","23:31:43","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","5,99","0,00","5,99",,"","0,00","2FA26107W6858812N",""
"22-07-2025","08:56:13","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-9,99","0,00","-9,99",,"","-9,99","21F9736079088243V",""
"22-07-2025","08:56:13","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","9,99","0,00","9,99",,"","0,00","52A64714HC798041X",""
"23-07-2025","09:00:23","CEST","Customer Service - Epoch","Express Checkout-betaling","Voltooid","EUR","-18,43","0,00","-18,43",,"","-18,43","00157537MG939493G",""
"23-07-2025","09:00:23","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","18,43","0,00","18,43",,"","0,00","2VM785262X217860H",""
"23-07-2025","12:35:06","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-2,99","0,00","-2,99",,"","-2,99","339465469N486813V",""
"23-07-2025","12:35:06","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","2,99","0,00","2,99",,"","0,00","9FA83537H94032333",""
"26-07-2025","18:56:22","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,61","0,00","-22,61",,"","-22,61","8JH61351U6859921X",""
"26-07-2025","18:56:22","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,61","0,00","22,61",,"","0,00","6MF37202269597455",""
"27-07-2025","02:37:43","CEST","Patreon Ireland Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-12,71","0,00","-12,71",,"","-12,71","9M0738011T910714B",""
"27-07-2025","02:37:43","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","12,71","0,00","12,71",,"","0,00","51972838F2122372L",""
"31-07-2025","22:34:04","CEST","Meta Platforms Technologies Ireland Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-19,99","0,00","-19,99",,"","-19,99","91F91739SD312250D",""
"31-07-2025","22:34:04","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","19,99","0,00","19,99",,"","0,00","2SS70538J3603101L",""
"08-08-2025","15:50:41","CEST","Sony Interactive Entertainment Network Europe Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-24,99","0,00","-24,99",,"","-24,99","2A676738840214108",""
"08-08-2025","15:50:41","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","24,99","0,00","24,99",,"","0,00","80795169RU1961845",""
"08-08-2025","18:59:59","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,28","0,00","-22,28",,"","-22,28","4SL70007VR421325L",""
"08-08-2025","18:59:59","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,28","0,00","22,28",,"","0,00","4M329922VW5459819",""
"09-08-2025","11:02:55","CEST","Microsoft Payments","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-11,99","0,00","-11,99",,"","-11,99","1RW312842L901404B",""
"09-08-2025","11:02:55","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","11,99","0,00","11,99",,"","0,00","73862327W77543700",""
"09-08-2025","11:32:45","CEST","Headphones","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","USD","-3,78","0,00","-3,78",,"","-3,78","075847842H8445817",""
"09-08-2025","11:32:45","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","3,39","0,00","3,39",,"","3,39","6XC57399NR426373R",""
"09-08-2025","11:32:45","CEST","","Algemene valutaomrekening","Voltooid","EUR","-3,39","0,00","-3,39",1.116300980419244,"","0,00","2KM11723J51970455",""
"09-08-2025","11:32:45","CEST","","Algemene valutaomrekening","Voltooid","USD","3,78","0,00","3,78",,"","0,00","97V041106D172062E",""
"15-08-2025","22:46:58","CEST","Meta Platforms Technologies Ireland Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-19,49","0,00","-19,49",,"","-19,49","85923987MB287272R",""
"15-08-2025","22:46:58","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","19,49","0,00","19,49",,"","0,00","17W99690M20429219",""
"22-08-2025","08:56:43","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-9,99","0,00","-9,99",,"","-9,99","0FT39484GT8910547",""
"22-08-2025","08:56:43","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","9,99","0,00","9,99",,"","0,00","0LH65178MU607214A",""
"23-08-2025","12:34:32","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-2,99","0,00","-2,99",,"","-2,99","22T06204N95653143",""
"23-08-2025","12:34:32","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","2,99","0,00","2,99",,"","0,00","4MX87079E2547421T",""
"24-08-2025","18:26:21","CEST","Epoch.com, LLC","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,52","0,00","-22,52",,"","-22,52","1CC992142M798181K",""
"24-08-2025","18:26:21","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,52","0,00","22,52",,"","0,00","2AF823825C502942A",""
"08-09-2025","11:02:42","CEST","www.steampowered.com","Express Checkout-betaling","Voltooid","EUR","-0,99","0,00","-0,99",,"","-0,99","8X409330VR299144M",""
"08-09-2025","11:02:42","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","0,99","0,00","0,99",,"","0,00","45U28376K4560110T",""
"08-09-2025","18:59:21","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,28","0,00","-22,28",,"","-22,28","9CW39505CE0257319",""
"08-09-2025","18:59:21","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,28","0,00","22,28",,"","0,00","3FD0547783092714X",""
